Date,Symbol,Company Name,Type,Split Ratio
17-Sep-24,IVDA,Iveda Solutions Inc,Reverse,1 for 8
17-Sep-24,DECK,Deckers Outdoor Corp,Forward,6 for 1
16-Sep-24,ZEPP,Zepp Health Corp,Reverse,1 for 4
16-Sep-24,KSCP,Knightscope Inc,Reverse,1 for 50
16-Sep-24,ISPC,Ispecimen Inc,Reverse,1 for 20
13-Sep-24,YJ,Yunji Inc,Reverse,1 for 4
12-Sep-24,CTAS,Cintas Corp,Forward,4 for 1
11-Sep-24,WTO,Utime Ltd.,Reverse,1 for 25
11-Sep-24,HYZN,Hyzon Motors Inc,Reverse,1 for 50
11-Sep-24,ALLR,Allarity Therapeutics Inc,Reverse,1 for 30
10-Sep-24,SIRI,Sirius Xm Holdings Inc,Reverse,1 for 10
09-Sep-24,TTEK,Tetra Tech Inc,Forward,5 for 1
09-Sep-24,PRFX,Painreform Ltd.,Reverse,1 for 6
09-Sep-24,BKSY,Blacksky Technology Inc,Reverse,1 for 8
06-Sep-24,TNON,Tenon Medical Inc,Reverse,1 for 8
05-Sep-24,LITB,Lightinthebox Holding Co Ltd.,Reverse,1 for 6
05-Sep-24,DPRO,Draganfly Inc,Reverse,1 for 25
05-Sep-24,BIRD,Allbirds Inc,Reverse,1 for 20
04-Sep-24,TCSGQ,Container Store Group Inc,Reverse,1 for 15
03-Sep-24,ORKA,Oruka Therapeutics Inc,Reverse,1 for 12
03-Sep-24,MTNB,Matinas Biopharma Holdings Inc,Reverse,1 for 50
30-Aug-24,SNOA,Sonoma Pharmaceuticals Inc,Reverse,1 for 20
30-Aug-24,GLTO,Galecto Inc,Reverse,1 for 25
30-Aug-24,GLMD,Galmed Pharmaceuticals Ltd.,Reverse,1 for 12
30-Aug-24,ATPC,Agape Atp Corp,Reverse,1 for 20
29-Aug-24,GDEV,Gdev Inc,Reverse,1 for 10
28-Aug-24,XCUR,Exicure Inc,Reverse,1 for 5
28-Aug-24,FBRX,Forte Biosciences Inc,Reverse,1 for 25
27-Aug-24,QMCO,Quantum Corp,Reverse,1 for 20
26-Aug-24,TOVX,Theriva Biologics Inc,Reverse,1 for 25
26-Aug-24,PHGE,Biomx Inc,Reverse,1 for 10
26-Aug-24,OBLG,Oblong Inc,Reverse,1 for 40
26-Aug-24,GWH,Ess Tech Inc,Reverse,1 for 15
26-Aug-24,FMTO,Femto Technologies Inc,Reverse,1 for 17
23-Aug-24,AIXI,Xiao-i Corp,Reverse,1 for 9
22-Aug-24,VMAR,Vision Marine Technologies Inc,Reverse,1 for 15
22-Aug-24,SPCB,Supercom Ltd.,Reverse,1 for 20
20-Aug-24,RDHL,Redhill Biopharma Ltd.,Reverse,1 for 25
20-Aug-24,NDRA,Endra Life Sciences Inc,Reverse,1 for 50
20-Aug-24,DNA,Ginkgo Bioworks Holdings Inc,Reverse,1 for 40
20-Aug-24,CVKD,Cadrenal Therapeutics Inc,Reverse,1 for 15
19-Aug-24,SRFM,Surf Air Mobility Inc,Reverse,1 for 7
19-Aug-24,SITC,Site Centers Corp,Reverse,1 for 4
19-Aug-24,FFIE,Faraday Future Intelligent Electric Inc,Reverse,1 for 40
19-Aug-24,BETR,Better Home & Finance Holding Co.,Reverse,1 for 50
19-Aug-24,ALGS,Aligos Therapeutics Inc,Reverse,1 for 25
16-Aug-24,OCTO,Eightco Holdings Inc,Reverse,1 for 5
16-Aug-24,GNS,Genius Group Ltd.,Reverse,1 for 10
15-Aug-24,SING,Singlepoint Inc,Reverse,1 for 100
15-Aug-24,QNTM,Quantum Biopharma Ltd.,Reverse,1 for 65.02
15-Aug-24,PRTG,Portage Biotech Inc,Reverse,1 for 20
15-Aug-24,ASTI,Ascent Solar Technologies Inc,Reverse,1 for 100
13-Aug-24,TRVN,Trevena Inc,Reverse,1 for 25
13-Aug-24,SHPH,Shuttle Pharmaceuticals Holdings Inc,Reverse,1 for 8
13-Aug-24,MNPR,Monopar Therapeutics,Reverse,1 for 5
13-Aug-24,AIFF,Firefly Neuroscience Inc,Reverse,1 for 3
12-Aug-24,SXTP,60 Degrees Pharmaceuticals Inc,Reverse,1 for 12
09-Aug-24,VATE,Innovate Corp,Reverse,1 for 10
09-Aug-24,SCCO,Southern Copper Corp,Forward,1.01 for 1
09-Aug-24,CING,Cingulate Inc,Reverse,1 for 12
08-Aug-24,SBFM,Sunshine Biopharma Inc,Reverse,1 for 20
08-Aug-24,MSTR,Microstrategy Inc,Forward,10 for 1
06-Aug-24,BIVI,Biovie Inc,Reverse,1 for 10
05-Aug-24,XYLO,Xylo Technologies Ltd.,Reverse,1 for 2.67
05-Aug-24,TCBP,Tc Biopharm (holdings) PLC,Reverse,1 for 10
05-Aug-24,GNLN,Greenlane Holdings Inc,Reverse,1 for 11
02-Aug-24,SYTA,Siyata Mobile Inc,Reverse,1 for 18
02-Aug-24,NCPL,Netcapital Inc,Reverse,1 for 69.98
01-Aug-24,EVOK,Evoke Pharma Inc,Reverse,1 for 12
30-Jul-24,SPGC,Sacks Parente Golf Inc,Reverse,1 for 10
30-Jul-24,CCM,Concord Medical Services Holdings Ltd.,Reverse,1 for 10
29-Jul-24,AIU,Meta Data Ltd.,Reverse,1 for 5
26-Jul-24,FOA,Finance Of America Companies Inc,Reverse,1 for 10
25-Jul-24,SNES,Senestech Inc,Reverse,1 for 10
25-Jul-24,NXXT,Nextnrg Inc,Reverse,1 for 2.5
25-Jul-24,EVGN,Evogene Ltd.,Reverse,1 for 10
24-Jul-24,BURU,Nuburu Inc,Reverse,1 for 40
23-Jul-24,KITT,Nauticus Robotics Inc,Reverse,1 for 36
19-Jul-24,BHIL,Benson Hill Inc,Reverse,1 for 35
18-Jul-24,TCRT,Alaunos Therapeutics Inc,Reverse,1 for 10
18-Jul-24,SONM,Sonim Technologies Inc,Reverse,1 for 10
18-Jul-24,SNTI,Senti Biosciences Inc,Reverse,1 for 10
18-Jul-24,SCPX,Scorpius Holdings Inc,Reverse,1 for 200
18-Jul-24,MGOL,Mgo Global Inc,Reverse,1 for 10
18-Jul-24,LUCY,Innovative Eyewear Inc,Reverse,1 for 20
16-Jul-24,ALZN,Alzamend Neuro Inc,Reverse,1 for 10
15-Jul-24,VTAK,Catheter Precision Inc,Reverse,1 for 10
15-Jul-24,USLM,United States Lime & Minerals Inc,Forward,5 for 1
15-Jul-24,SMX,Smx (security Matters) Public Ltd Co.,Reverse,1 for 75.02
15-Jul-24,CLDI,Calidi Biotherapeutics Inc,Reverse,1 for 10
15-Jul-24,AVGO,Broadcom Inc,Forward,10 for 1
12-Jul-24,IMCC,Im Cannabis Corp,Reverse,1 for 6
12-Jul-24,FLG,Flagstar Financial Inc,Reverse,1 for 3
11-Jul-24,WRB,Berkley W R Corp,Forward,1.5 for 1
11-Jul-24,CLNN,Clene Inc,Reverse,1 for 20
11-Jul-24,AMWL,American Well Corp,Reverse,1 for 20
10-Jul-24,HOOK,Hookipa Pharma Inc,Reverse,1 for 10
10-Jul-24,FREHY,Fresh2 Group Ltd.,Reverse,1 for 10
09-Jul-24,WSM,Williams Sonoma Inc,Forward,2 for 1
09-Jul-24,IONM,Assure Holdings Corp,Reverse,1 for 18
08-Jul-24,EFSH,1847 Holdings LLC,Reverse,1 for 13
08-Jul-24,CJET,Chijet Motor Company Inc,Reverse,1 for 30
05-Jul-24,SNFCA,Security National Financial Corp,Forward,1.05 for 1
05-Jul-24,PHIO,Phio Pharmaceuticals Corp,Reverse,1 for 9
05-Jul-24,CYN,Cyngn Inc,Reverse,1 for 100
03-Jul-24,NUTX,Nutex Health Inc,Reverse,1 for 10
03-Jul-24,MDRR,Medalist Diversified Reit Inc,Reverse,1 for 2
03-Jul-24,JZXN,Jiuzi Holdings Inc,Reverse,1 for 13
03-Jul-24,ASLN,Aslan Pharmaceuticals Ltd.,Reverse,1 for 8
02-Jul-24,ASST,Asset Entities Inc,Reverse,1 for 5
01-Jul-24,YGMZ,Mingzhu Logistics Holdings Ltd.,Reverse,1 for 8
01-Jul-24,RELI,Reliance Global Group Inc,Reverse,1 for 17
01-Jul-24,KORE,Kore Group Holdings Inc,Reverse,1 for 5
01-Jul-24,DARE,Dare Bioscience Inc,Reverse,1 for 12
01-Jul-24,AZTR,Azitra Inc,Reverse,1 for 30
28-Jun-24,NUWE,Nuwellis Inc,Reverse,1 for 35
27-Jun-24,YYAI,Connexa Sports Technologies Inc,Reverse,1 for 20
27-Jun-24,RIGL,Rigel Pharmaceuticals Inc,Reverse,1 for 10
26-Jun-24,STAF,Staffing 360 Solutions Inc,Reverse,1 for 10
26-Jun-24,OMIC,Singular Genomics Systems Inc,Reverse,1 for 30
26-Jun-24,CMG,Chipotle Mexican Grill Inc,Forward,50 for 1
25-Jun-24,NKLA,Nikola Corp,Reverse,1 for 30
25-Jun-24,CRKN,Crown Electrokinetics Corp,Reverse,1 for 149.93
24-Jun-24,BBSI,Barrett Business Services Inc,Forward,4 for 1
21-Jun-24,TECX,Tectonic Therapeutic Inc,Reverse,1 for 12
21-Jun-24,BGM,Bgm Group Ltd.,Reverse,1 for 5
20-Jun-24,BJDX,Bluejay Diagnostics Inc,Reverse,1 for 8
20-Jun-24,ATRA,Atara Biotherapeutics Inc,Reverse,1 for 25
18-Jun-24,VSME,Vs Media Holdings Ltd.,Reverse,1 for 7
18-Jun-24,GRI,Gri Bio Inc,Reverse,1 for 13
18-Jun-24,FORD,Forward Industries Inc,Reverse,1 for 10
17-Jun-24,WKHS,Workhorse Group Inc,Reverse,1 for 20
17-Jun-24,STRR,Star Equity Holdings Inc,Reverse,1 for 5
17-Jun-24,SPCE,Virgin Galactic Holdings Inc,Reverse,1 for 20
17-Jun-24,SLRX,Salarius Pharmaceuticals Inc,Reverse,1 for 8
17-Jun-24,CATX,Perspective Therapeutics Inc,Reverse,1 for 10
14-Jun-24,TWOUQ,2u Inc,Reverse,1 for 30
14-Jun-24,TRNR,Interactive Strength Inc,Reverse,1 for 40
14-Jun-24,JUNS,Jupiter Neurosciences Inc,Forward,3.75 for 1
14-Jun-24,CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
13-Jun-24,VLD,Velo3d Inc,Reverse,1 for 35
13-Jun-24,RBOT,Vicarious Surgical Inc,Reverse,1 for 30
13-Jun-24,NAAS,Naas Technology Inc,Reverse,1 for 20
12-Jun-24,SUNE,Sunation Energy Inc,Reverse,1 for 15
12-Jun-24,BNED,Barnes & Noble Education Inc,Reverse,1 for 100
12-Jun-24,APH,Amphenol Corp,Forward,2 for 1
11-Jun-24,KPRX,Kiora Pharmaceuticals Inc,Reverse,1 for 9
11-Jun-24,DM,Desktop Metal Inc,Reverse,1 for 10
11-Jun-24,CNQ,Canadian Natural Resources Ltd.,Forward,2 for 1
10-Jun-24,TNXP,Tonix Pharmaceuticals Holding Corp,Reverse,1 for 32
10-Jun-24,RTC,Baijiayun Group Ltd.,Reverse,1 for 5
10-Jun-24,NVDA,Nvidia Corp,Forward,10 for 1
10-Jun-24,ICU,Seastar Medical Holding Corp,Reverse,1 for 25
07-Jun-24,VLCN,Volcon Inc,Reverse,1 for 100
07-Jun-24,SSKN,Strata Skin Sciences Inc,Reverse,1 for 10
07-Jun-24,DBVT,Dbv Technologies SA,Reverse,1 for 2
07-Jun-24,CEAD,Cea Industries Inc,Reverse,1 for 12
06-Jun-24,SNGX,Soligenix Inc,Reverse,1 for 16
06-Jun-24,QXO,Qxo Inc,Reverse,1 for 8
05-Jun-24,CNSP,Cns Pharmaceuticals Inc,Reverse,1 for 50
04-Jun-24,LICY,Li-cycle Holdings Corp,Reverse,1 for 8
03-Jun-24,PLAG,Planet Green Holdings Corp,Reverse,1 for 10
03-Jun-24,GWAV,Greenwave Technology Solutions Inc,Reverse,1 for 149.93
03-Jun-24,BHST,Bioharvest Sciences Inc,Reverse,1 for 35
31-May-24,NBY,Novabay Pharmaceuticals Inc,Reverse,1 for 35
30-May-24,BCDA,Biocardia Inc,Reverse,1 for 15
29-May-24,GV,Visionary Holdings Inc,Reverse,1 for 15
28-May-24,THAR,Tharimmune Inc,Reverse,1 for 15
28-May-24,SINT,Sintx Technologies Inc,Reverse,1 for 200
24-May-24,CIG.C,Energy Co Of Minas Gerais,Forward,1.3 for 1
